Key (Name),Value (Internal Name)
seed,vanilla
[WORLD UNLOCKS] //Vanilla order by default,
Default_1,world_faramore_town_unlocked
Default_2,world_durridin_forest_unlocked
Forest_Beacon_1,world_cogwyn_caves_unlocked
Forest_Beacon_2,world_anju_desert_unlocked
Forest_Beacon_3,world_creece_canyon_unlocked
Desert_Beacon_1,world_norin_swamp_unlocked
Desert_Beacon_2,world_chillinax_peaks_unlocked
Desert_Beacon_3,world_boanjale_crypts_unlocked
Swamp_Beacon_1,world_sprigum_volcano_unlocked
Swamp_Beacon_2,world_badonc_beach_unlocked
Swamp_Beacon_3,world_ryha_river_unlocked
Beach_Beacon_1,world_lichen_hills_unlocked
Beach_Beacon_2,world_fort_findula_unlocked
Hills_Beacon_1,world_dennys_castle_unlocked
Hills_Beacon_2,world_daimurs_lair_unlocked
,
[BARRIER TYPES],
Red_Barrier,b_red_block
Blue_Barrier,b_blue_block
Purple_Barrier,b_purple_block
Flute_Barrier,b_flute_block
Gauntlet_Barrier,b_grey_block
,
[ITEMS],
,
[BAGS] //Bags are not individual objects,
Forest_Bag_(First_Room_1),obj_item_bag_1
Forest_Bag_(First_Room_2),obj_item_bag_2
Forest_Bag_(Sword_Wave),obj_item_bag_3
Forest_Bag_(Last_Room),obj_item_bag_4
Caves_Bag_(Rope_Ladder),obj_item_bag_5
Caves_Bag_(Last_Room),obj_item_bag_6
Desert_Bag_(First_Room_1),obj_item_bag_7
Desert_Bag_(First_Room_2),obj_item_bag_8
Desert_Bag_(Last_Room),obj_item_bag_9
Canyon_Bag_(Before_Checkpoint),obj_item_bag_10
Canyon_Bag_(After_Checkpoint_1),obj_item_bag_11
Canyon_Bag_(After_Checkpoint_2),obj_item_bag_12
Canyon_Bag_(After_Checkpoint_3),obj_item_bag_13
Canyon_Bag_(First_Room_End),obj_item_bag_14
Canyon_Bag_(After_Zipline_1),obj_item_bag_15
Canyon_Bag_(After_Zipline_2),obj_item_bag_16
Canyon_Bag_(After_Zipline_3),obj_item_bag_17
Canyon_Bag_(Motte_House),obj_item_bag_18
Swamp_Bag_(First_Room),obj_item_bag_19
Peak_Bag_(First_Cave_1),obj_item_bag_20
Peak_Bag_(First_Cave_2),obj_item_bag_21
Peak_Bag_(Before_Apatu),obj_item_bag_22
Peak_Bag_(After_Apatu),obj_item_bag_23
Crypts_Bag_(Skelvis),obj_item_bag_24
Beach_Bag_(First_Room),obj_item_bag_25
River_Bag_(Last_Room),obj_item_bag_26
Hills_Bag_(Barn),obj_item_bag_27
Hills_Bag_(Music_Shrine),obj_item_bag_28
Fort_Bag_(Dungeon_1),obj_item_bag_29
Fort_Bag_(Dungeon_2),obj_item_bag_30
Fort_Bag_(Dungeon_3),obj_item_bag_31
Fort_Bag_(Dungeon_4),obj_item_bag_32
Fort_Bag_(Dark_Room),obj_item_bag_33
Fort_Bag_(Top_Room_1),obj_item_bag_34
Fort_Bag_(Top_Room_2),obj_item_bag_35
Fort_Bag_(Top_Room_3),obj_item_bag_36
Fort_Bag_(Last_Room),obj_item_bag_37
Castle_Bag_(Entrance),obj_item_bag_38
Castle_Bag_(Top_Room),obj_item_bag_39
Castle_Bag_(Bonus),obj_item_bag_40
Lair_Bag_(First_Room),obj_item_bag_41
Lair_Bag_(Lava_Room),obj_item_bag_42
Lair_Bag_(Final_Room_1),obj_item_bag_43
Lair_Bag_(Final_Room_2),obj_item_bag_44
Lair_Bag_(Final_Room_3),obj_item_bag_45
Crypts_Bag_(Crypt),obj_item_bag_46
,
[KEYS],
Faramore_Key_(Well),key_faramore_2
Faramore_Key_(Tavern),key_faramore_1
Forest_Key,key_durridin
Desert_Key,key_anju
Canyon_Key,key_creece
Swamp_Key_(Frich_House),key_norin
Swamp_Key_(Griffin_Boots),key_norin_2
Peak_Key,key_chillinax
